Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division,
,,,,,,,,,,,,,,,,,Definition,
33,timetable,ME 370,Kinematics and Dynamics of Machines Lab,A - V. Kartik,  ,L4, S4,, 0,,,,,,,,,
,,,,I - Guha Anirban,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,,,,,,,
34,timetable,ME 372,Heat Transfer and Metrology Lab,A - Arunkumar Sridharan,  ,L1, S1,, 0,,,,,,,,,
,,,,A - Deepak Marla,,,,,,,,,,,,,,
,,,,A - Dipanshu Bansal,,,,,,,,,,,,,,
,,,,A - Rajneesh Bhardwaj,,Mon-L1-14:00:00-16:55:00,,,,,,,,,,,,
,,,,A - Rakesh G. Mote,,,,,,,,,,,,,,
,,,,A - Upendra Bhandarkar,,,,,,,,,,,,,,
,,,,I - Soham Mujumdar,,,,,,,,,,,,,,
35,timetable,ME 372,Heat Transfer and Metrology Lab,A - Arunkumar Sridharan,  ,L2, S2,, 0,,,,,,,,,
,,,,A - Deepak Marla,,,,,,,,,,,,,,
,,,,A - Dipanshu Bansal,,,,,,,,,,,,,,
,,,,A - Rajneesh Bhardwaj,,Tue-L2-14:00:00-16:55:00,,,,,,,,,,,,
,,,,A - Rakesh G. Mote,,,,,,,,,,,,,,
,,,,A - Upendra Bhandarkar,,,,,,,,,,,,,,
,,,,I - Soham Mujumdar,,,,,,,,,,,,,,
36,timetable,ME 372,Heat Transfer and Metrology Lab,I - Arunkumar Sridharan,  ,L6, S3,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-L6-09:30:00-12:30:00,,,,,,,,,,,,
37,timetable,ME 372,Heat Transfer and Metrology Lab,I - Dipanshu Bansal,  ,LX, S4,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Wed-LX-14:00:00-16:55:00,,,,,,,,,,,,
38,timetable,ME 412,CFD and HT Lab,I - Janani S. Murallidharan,  ,L4,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,,,,,,,
39,timetable,ME 415,Computational Fluid Dynamics and Heat Transfer,I - Sandip Kumar Saha,  ,12,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,,,,,,,
40,timetable,ME 420,Cryogenic Engineering I,I - M.D.Atrey,  ,14,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,,
41,timetable,ME 434,Finite Element and Boundary Element Methods,I - Parag Tandaiya,  ,9,,, 5,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,,
42,timetable,ME 441,Applied Thermodynamics Lab,I - Rane Milind,  ,L1, S1,, 0,,,,,,,,,
