Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division,,,,,,,
,,,,A - K. Ramasubramanian,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,A - Robinson Rowena,,,,,,,,,,,,,,,,,,,,
,,,,A - Suddhaseel Sen,,Mon-4A-11:35:00-12:30:00,,,,,,,,,,,,,,,,,,
,,,,I - Ramesh Bairy,,Thu-4C-09:30:00-10:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,,,,,,,,,,,,,
42,Instructor information not avilable,HS 797,I Stage Project,,,,,, 0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
43,Instructor information not avilable,HS 798,II Stage Project,,,,,, 0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
44,timetable,HS 803,Advanced Psychological Theory,A - A. Khan,  ,8,,, 0,,,,,,,,,,,,,,,
,,,,A - Rashmi Gupta,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,I - Pooja Purang,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
45,timetable,HS 804,Advanced Theory of Society,I - Robinson Rowena,  ,8,,, 0, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
46,timetable,HS 809,Practice and Theory of Literary Research,A - Shastri Sudha,  ,8,,, 0,,,,,,,,,,,,,,,
,,,,I - Suddhaseel Sen,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
47,timetable,HS 813,"Structure of Language & its applications, Morphophonology and ELT",I - Sarma Vaijayanthi,  ,9,,, 0, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
48,timetable,HS 814,"Architecture of Grammer & its applications, Syntax Semantics and Sociolinguistics",I - Sarma Vaijayanthi,  ,11,,, 0, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
