Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,
21,timetable,CH 826,Topics in Chemistry,A - Anil Kumar,  ,9,,, 0,,,
,,,,A - Ghosh Prasenjit,FullSemester,,,,,,,
,,,,I - Achintya Kumar Dutta,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
22,timetable,CH 828,Spectra of Organic Compounds,A - I.N.N. Namboothiri,  ,8,,, 0,,,
,,,,I - Chidambar Kulkarni,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,
23,timetable,CH 864,Biopolymers,I - Ruchi Anand,  ,13,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,
24,timetable,CHS802,Seminar,A - Nand Kishore,  ,,,, 0,,,
,,,,A - Sambasivarao Kotha,FullSemester,,,,,,,
,,,,A - Sanjog Sunil Nagarkar,,,,,,,,
,,,,I - Y. U. Sasidhar,,,,,,,,
