Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,,,,,,,
24,timetable,ES 682,Numerical Methods for Environmental Systems,A - Amritanshu Shriwastav,  ,3,,, 0,,,,,,,,,
,,,,I - Tabish Nawaz,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,,
25,timetable,ES 684,Design of Water and Wastewater Systems,I - Sanjeev Chaudhari,  ,10,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,,
26,timetable,ES 792,Communication Skills -II,A - Harish C. Phuleria,  ,13,,, 0,,,,,,,,,
,,,,I - Virendra Sethi,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,,
27,timetable,ES 792,Communication Skills -II,A - Harish C. Phuleria,  ,13,,, 0,,,,,,,,,
,,,,I - Virendra Sethi,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,,,,,,,
