,Course Code,Course Name,Dept,Division,Division.1,Instructor(s),Registration Limit,Restrictions,Slot,Slot_code,Time,Type,Venue,Yxx ka Y
121,CH 220,Reactions of Carbonyl Compounds,CH,,,A - Chandra M. R. Volla I - Pradeep Kumar P.I., 0,,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,timetable,  ,2
122,CH 224,Co-ordination Chemistry,CH,,,A - Goutam K. Lahiri I - Gopalan Rajaram, 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  ,2
123,CH 408,Molecular Energetics and Dynamics,CH,,,I - Nand Kishore, 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  ,4
124,CH 410,Bio-Inorganic Chemistry,CH,,,A - D. Maiti I - Arnab Dutta, 0,,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,timetable,  ,4
125,CH 438,Chemistry of Main Group Elements,CH,,,A - R. Murugavel I - Sanjog Sunil Nagarkar, 0,,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,timetable,  ,4
126,CH 442,Molecular Spectroscopy,CH,,,I - G. Naresh Patwari, 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  ,4
127,CH 504,Computational Chemistry,CH,,,I - R. B. Sunoj, 0,,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,10, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,timetable,  ,5
128,CH 560,Quantum Chemistry,CH,,,A - G. Naresh Patwari I - Rahul Maitra, 0,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  ,5
129,CH 576,Statistical Mechanics,CH,,,I - Rajarshi Chakrabarti, 0,,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,12, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  ,5
130,CH 578,Topics in Inorganic Chemistry II,CH,,,A - Leela S. Panchakarla I - Maheswaran S., 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  ,5
131,CH 586,Structure and Properties of Materials,CH,,,I - Subramaniam Chandramouli, 0,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  ,5
132,CH 603,Programming Techniques in Chemistry,CH,,,A - Amber Jain I - Achintya Kumar Dutta, 0,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,11, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  ,6
133,CH 792,Communication Skills -II,CH,,,A - Nandita Madhavan I - Ghosh Prasenjit, 0,,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,timetable,  ,7
134,CH 807,Organic Synthesis,CH,,,A - Santosh J. Gharpure I - Kaliappan K P, 0,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  ,8
135,CH 814,Fundamentals of Molecular Energetics and Dynamics,CH,,,I - Y. U. Sasidhar, 0,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  ,8
136,CH 824,Organotransition Metal and Acceptor Ligand Complex,CH,,,I - M. Ravikanth, 0,,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,10, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,timetable,  ,8
137,CH 826,Topics in Chemistry,CH,,,A - Anil Kumar A - Ghosh Prasenjit I - Arnab Dutta, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,8
138,CH 828,Spectra of Organic Compounds,CH,,,A - I.N.N. Namboothiri I - Chidambar Kulkarni, 0,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  ,8
