Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division
39,timetable,HS 603,Socio-Psychological Perspectives in Development & Change,I - Kushal Deb,  ,11,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,
40,timetable,HS 605,Research Methods in Social Sciences,A - Parthasarathy D.,  ,10,,, 0, View,,,,,,,
,,,,A - Sarmistha Pattanaik,,,,,,,,,,,,,
,,,,I - Vikram Singh Sirola,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
41,timetable,HS 615,Computer Aided Applied Statistics,I - Mrinmoyi Kulkarni,  ,9,,, 0,,,,,,,,
,,,,I - Parthasarathy D.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,
42,timetable,HS 636,Development of Mathematics in India,I - K. Ramasubramanian,  ,6,,, 50,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,
43,timetable,HS 637,Anthropology and Disaster,I - Robinson Rowena,  ,5,,, 0, View,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
44,Instructor information not avilable,HS 691,Field Visit,,,,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
45,Instructor information not avilable,HS 694,Seminar,,,,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
