,Course Code,Course Name,Division,Division.1,Instructor(s),Registration Limit,Restrictions,Slot,Slot_code,Time,Type,Venue
28,EE 625,Bio Sensors & BioMEMS,,,I - S. Duttagupta, 0,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
29,EE 636,Matrix Computations,,,I - Debasattam Pal, 0,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
30,EE 651,Digital Protection of Power Systems,,,I - Prashant Navalkar, 0,,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,1, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  
31,EE 654,Power Electronics - II,,,I - M. Chandorkar, 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  
32,EE 656,Electrical Machine Analysis and Control,,,I - Ferdes B.G., 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  
33,EE 672,Microelectronics Lab,,,A - Apurba Laha I - Swaroop Ganguly, 0,,Fri-L4-14:00:00-16:55:00,L4,i-L4-14:00:00-16:55:00,timetable,  
34,EE 678,Wavelets,,,I - Gadre V.M., 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  
35,EE 699,Delta Sigma Data Converters and their Applications,,,I - Pramod Murali, 30,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,1, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  
36,EE 701,Introduction to MEMS,,,I - Siddharth Tallur, 0,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
37,EE 705,V L S I Design Lab,,,I - Patkar Sachin, 0,,LX Wed-LX-14:00:00-16:55:00,LX, Wed-LX-14:00:00-16:55:00,timetable,  
38,EE 706,Communication Networks,,,I - Sharayu Moharir, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  
39,EE 708,Information Theory & Coding,,,I - B.K.Dey, 0,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
40,EE 709,Testing and Verification of VLSI Circuits,,,I - Desai Madhav, 0,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  
